leaguename,rank,teamName,gameCount,gainPoint,won,drawn,lost,gainGoal,loseGoal,goalGap
bundesliga,1,FC 바이에른 뮌헨,34,78,24,6,4,99,44,55
bundesliga,2,RB 라이프치히,34,65,19,8,7,60,32,28
bundesliga,3,보루시아 도르트문트,34,64,20,4,10,75,46,29
bundesliga,4,VfL 볼프스부르크,34,61,17,10,7,61,37,24
bundesliga,5,아인트라흐트 프랑크푸르트,34,60,16,12,6,69,53,16
bundesliga,6,바이어 04 레버쿠젠,34,52,14,10,10,53,39,14
bundesliga,7,FC 우니온 베를린,34,50,12,14,8,50,43,7
bundesliga,8,보루시아 묀헨글라트바흐,34,49,13,10,11,64,56,8
bundesliga,9,VfB 슈투트가르트,34,45,12,9,13,56,55,1
bundesliga,10,SC 프라이부르크,34,45,12,9,13,52,52,0
bundesliga,11,TSG 1899 호펜하임,34,43,11,10,13,52,54,-2
bundesliga,12,FSV 마인츠 05,34,39,10,9,15,39,56,-17
bundesliga,13,FC 아우크스부르크,34,36,10,6,18,36,54,-18
bundesliga,14,헤르타 BSC,34,35,8,11,15,41,52,-11
bundesliga,15,아르미니아 빌레펠트,34,35,9,8,17,26,52,-26
bundesliga,16,FC 쾰른,34,33,8,9,17,34,60,-26
bundesliga,17,SV 베르더 브레멘,34,31,7,10,17,36,57,-21
bundesliga,18,FC 샬케 04,34,16,3,7,24,25,86,-61
