leaguename,rank,teamName,gameCount,gainPoint,won,drawn,lost,gainGoal,loseGoal,goalGap
epl,1,맨체스터 시티 FC,38,86,27,5,6,83,32,51
epl,2,맨체스터 유나이티드 FC,38,74,21,11,6,73,44,29
epl,3,리버풀 FC,38,69,20,9,9,68,42,26
epl,4,첼시 FC,38,67,19,10,9,58,36,22
epl,5,레스터 시티 FC,38,66,20,6,12,68,50,18
epl,6,웨스트햄 유나이티드 FC,38,65,19,8,11,62,47,15
epl,7,토트넘 홋스퍼 FC,38,62,18,8,12,68,45,23
epl,8,아스널 FC,38,61,18,7,13,55,39,16
epl,9,리즈 유나이티드 FC,38,59,18,5,15,62,54,8
epl,10,에버턴 FC,38,59,17,8,13,47,48,-1
epl,11,아스톤 빌라 FC,38,55,16,7,15,55,46,9
epl,12,뉴캐슬 유나이티드 FC,38,45,12,9,17,46,62,-16
epl,13,울버햄튼 원더러스 FC,38,45,12,9,17,36,52,-16
epl,14,크리스탈 팰리스 FC,38,44,12,8,18,41,66,-25
epl,15,사우샘프턴 FC,38,43,12,7,19,47,68,-21
epl,16,브라이튼 앤 호브 알비온 FC,38,41,9,14,15,40,46,-6
epl,17,번리 FC,38,39,10,9,19,33,55,-22
epl,18,풀럼 FC,38,28,5,13,20,27,53,-26
epl,19,웨스트 브로미치 앨비언 FC,38,26,5,11,22,35,76,-41
epl,20,셰필드 유나이티드 FC,38,23,7,2,29,20,63,-43
