leaguename,rank,teamName,gameCount,gainPoint,won,drawn,lost,gainGoal,loseGoal,goalGap
2009,1,첼시 FC,38,86,27,5,6,103,32,71
2009,2,맨체스터 유나이티드 FC,38,85,27,4,7,86,28,58
2009,3,아스널 FC,38,75,23,6,9,83,41,42
2009,4,토트넘 핫스퍼 FC,38,70,21,7,10,67,41,26
2009,5,맨체스터 시티 FC,38,67,18,13,7,73,45,28
2009,6,애스턴 빌라 FC,38,64,17,13,8,52,39,13
2009,7,리버풀 FC,38,63,18,9,11,61,35,26
2009,8,에버턴 FC,38,61,16,13,9,60,49,11
2009,9,버밍엄 시티 FC,38,50,13,11,14,38,47,-9
2009,10,블랙번 로버스 FC,38,50,13,11,14,41,55,-14
2009,11,스토크 시티 FC,38,47,11,14,13,34,48,-14
2009,12,풀럼 FC,38,46,12,10,16,39,46,-7
2009,13,선덜랜드 AFC,38,44,11,11,16,48,56,-8
2009,14,볼턴 원더러스 FC,38,39,10,9,19,42,67,-25
2009,15,울버햄튼 원더러스 FC,38,38,9,11,18,32,56,-24
2009,16,위건 애슬레틱 FC,38,36,9,9,20,37,79,-42
2009,17,웨스트햄 유나이티드 FC,38,35,8,11,19,47,66,-19
2009,18,번리 FC,38,30,8,6,24,42,82,-40
2009,19,헐 시티 AFC,38,30,6,12,20,34,75,-41
2009,20,포츠머스 FC,38,19,7,7,24,34,66,-32
2010,1,맨체스터 유나이티드 FC,38,80,23,11,4,78,37,41
2010,2,첼시 FC,38,71,21,8,9,69,33,36
2010,3,맨체스터 시티 FC,38,71,21,8,9,60,33,27
2010,4,아스널 FC,38,68,19,11,8,72,43,29
2010,5,토트넘 핫스퍼 FC,38,62,16,14,8,55,46,9
2010,6,리버풀 FC,38,58,17,7,14,59,44,15
2010,7,에버턴 FC,38,54,13,15,10,51,45,6
2010,8,풀럼 FC,38,49,11,16,11,49,43,6
2010,9,애스턴 빌라 FC,38,48,12,12,14,48,59,-11
2010,10,선덜랜드 AFC,38,47,12,11,15,45,56,-11
2010,11,웨스트 브로미치 알비온 FC,38,47,12,11,15,56,71,-15
2010,12,뉴캐슬 유나이티드 FC,38,46,11,13,14,56,57,-1
2010,13,스토크 시티 FC,38,46,13,7,18,46,48,-2
2010,14,볼턴 원더러스 FC,38,46,12,10,16,52,56,-4
2010,15,블랙번 로버스 FC,38,43,11,10,17,46,59,-13
2010,16,위건 애슬레틱 FC,38,42,9,15,14,40,61,-21
2010,17,울버햄튼 원더러스 FC,38,40,11,7,20,46,66,-20
2010,18,버밍엄 시티 FC,38,39,8,15,15,37,58,-21
2010,19,블랙풀 FC,38,39,10,9,19,55,78,-23
2010,20,웨스트햄 유나이티드 FC,38,33,7,12,19,43,70,-27
2011,1,맨체스터 시티 FC,38,89,28,5,5,93,29,64
2011,2,맨체스터 유나이티드 FC,38,89,28,5,5,89,33,56
2011,3,아스널 FC,38,70,21,7,10,74,49,25
2011,4,토트넘 홋스퍼 FC,38,69,20,9,9,66,41,25
2011,5,뉴캐슬 유나이티드 FC,38,65,19,8,11,56,51,5
2011,6,첼시 FC,38,64,18,10,10,65,46,19
2011,7,에버턴 FC,38,56,15,11,12,50,40,10
2011,8,리버풀 FC,38,52,14,10,14,47,40,7
2011,9,풀럼 FC,38,52,14,10,14,48,51,-3
2011,10,웨스트 브로미치 앨비언 FC,38,47,13,8,17,45,52,-7
2011,11,스완지 시티 AFC,38,47,12,11,15,44,51,-7
2011,12,노리치 시티 FC,38,47,12,11,15,52,66,-14
2011,13,선덜랜드 AFC,38,45,11,12,15,45,46,-1
2011,14,스토크 시티 FC,38,45,11,12,15,36,53,-17
2011,15,위건 애슬레틱 FC,38,43,11,10,17,42,62,-20
2011,16,애스턴 빌라 FC,38,38,7,17,14,37,53,-16
2011,17,퀸즈 파크 레인저스 FC,38,37,10,7,21,43,66,-23
2011,18,볼턴 원더러스 FC,38,36,10,6,22,46,77,-31
2011,19,블랙번 로버스 FC,38,31,8,7,23,48,78,-30
2011,20,울버햄튼 원더러스 FC,38,25,5,10,23,40,82,-42
2012,1,맨체스터 유나이티드 FC,38,89,28,5,5,86,43,43
2012,2,맨체스터 시티 FC,38,78,23,9,6,66,34,32
2012,3,첼시 FC,38,75,22,9,7,75,39,36
2012,4,아스널 FC,38,73,21,10,7,72,37,35
2012,5,토트넘 홋스퍼 FC,38,72,21,9,8,66,46,20
2012,6,에버턴 FC,38,63,16,15,7,55,40,15
2012,7,리버풀 FC,38,61,16,13,9,71,43,28
2012,8,웨스트 브로미치 앨비언 FC,38,49,14,7,17,53,57,-4
2012,9,스완지 시티 AFC,38,46,11,13,14,47,51,-4
2012,10,웨스트햄 유나이티드 FC,38,46,12,10,16,45,53,-8
2012,11,노리치 시티 FC,38,44,10,14,14,41,58,-17
2012,12,풀럼 FC,38,43,11,10,17,50,60,-10
2012,13,스토크 시티 FC,38,42,9,15,14,34,45,-11
2012,14,사우샘프턴 FC,38,41,9,14,15,49,60,-11
2012,15,애스턴 빌라 FC,38,41,10,11,17,47,69,-22
2012,16,뉴캐슬 유나이티드 FC,38,41,11,8,19,45,68,-23
2012,17,선덜랜드 AFC,38,39,9,12,17,41,54,-13
2012,18,위건 애슬레틱 FC,38,36,9,9,20,47,73,-26
2012,19,레딩 FC,38,28,6,10,22,43,73,-30
2012,20,퀸즈 파크 레인저스 FC,38,25,4,13,21,30,60,-30
2013,1,맨체스터 시티 FC,38,86,27,5,6,102,37,65
2013,2,리버풀 FC,38,84,26,6,6,101,50,51
2013,3,첼시 FC,38,82,25,7,6,71,27,44
2013,4,아스널 FC,38,79,24,7,7,68,41,27
2013,5,에버턴 FC,38,72,21,9,8,61,39,22
2013,6,토트넘 홋스퍼 FC,38,69,21,6,11,55,51,4
2013,7,맨체스터 유나이티드 FC,38,64,19,7,12,64,43,21
2013,8,사우샘프턴 FC,38,56,15,11,12,54,46,8
2013,9,스토크 시티 FC,38,50,13,11,14,45,52,-7
2013,10,뉴캐슬 유나이티드 FC,38,49,15,4,19,43,59,-16
2013,11,크리스탈 팰리스 FC,38,45,13,6,19,33,48,-15
2013,12,스완지 시티 AFC,38,42,11,9,18,54,54,0
2013,13,웨스트햄 유나이티드 FC,38,40,11,7,20,40,51,-11
2013,14,선덜랜드 AFC,38,38,10,8,20,41,60,-19
2013,15,애스턴 빌라 FC,38,38,10,8,20,39,61,-22
2013,16,헐 시티 AFC,38,37,10,7,21,38,53,-15
2013,17,웨스트 브로미치 앨비언 FC,38,36,7,15,16,43,59,-16
2013,18,노리치 시티 FC,38,33,8,9,21,28,62,-34
2013,19,풀럼 FC,38,32,9,5,24,40,85,-45
2013,20,카디프 시티 FC,38,30,7,9,22,32,74,-42
2014,1,첼시 FC,38,87,26,9,3,73,32,41
2014,2,맨체스터 시티 FC,38,79,24,7,7,83,38,45
2014,3,아스널 FC,38,75,22,9,7,71,36,35
2014,4,맨체스터 유나이티드 FC,38,70,20,10,8,62,37,25
2014,5,토트넘 홋스퍼 FC,38,64,19,7,12,58,53,5
2014,6,리버풀 FC,38,62,18,8,12,52,48,4
2014,7,사우샘프턴 FC,38,60,18,6,14,54,33,21
2014,8,스완지 시티 AFC,38,56,16,8,14,46,49,-3
2014,9,스토크 시티 FC,38,54,15,9,14,48,45,3
2014,10,크리스탈 팰리스 FC,38,48,13,9,16,47,51,-4
2014,11,에버턴 FC,38,47,12,11,15,48,50,-2
2014,12,웨스트햄 유나이티드 FC,38,47,12,11,15,44,47,-3
2014,13,웨스트 브로미치 앨비언 FC,38,44,11,11,16,38,51,-13
2014,14,레스터 시티 FC,38,41,11,8,19,46,55,-9
2014,15,뉴캐슬 유나이티드 FC,38,39,10,9,19,40,63,-23
2014,16,선덜랜드 AFC,38,38,7,17,14,31,53,-22
2014,17,애스턴 빌라 FC,38,38,10,8,20,31,57,-26
2014,18,헐 시티 AFC,38,35,8,11,19,33,51,-18
2014,19,번리 FC,38,33,7,12,19,28,53,-25
2014,20,퀸즈 파크 레인저스 FC,38,30,8,6,24,42,73,-31
2015,1,레스터 시티 FC,38,81,23,12,3,68,36,32
2015,2,아스널 FC,38,71,20,11,7,65,36,29
2015,3,토트넘 홋스퍼 FC,38,70,19,13,6,69,35,34
2015,4,맨체스터 시티 FC,38,66,19,9,10,71,41,30
2015,5,맨체스터 유나이티드 FC,38,66,19,9,10,49,35,14
2015,6,사우샘프턴 FC,38,63,18,9,11,59,41,18
2015,7,웨스트햄 유나이티드 FC,38,62,16,14,8,65,51,14
2015,8,리버풀 FC,38,60,16,12,10,63,50,13
2015,9,스토크 시티 FC,38,51,14,9,15,41,55,-14
2015,10,첼시 FC,38,50,12,14,12,59,53,6
2015,11,에버턴 FC,38,47,11,14,13,59,55,4
2015,12,스완지 시티 AFC,38,47,12,11,15,42,52,-10
2015,13,왓포드 FC,38,45,12,9,17,40,50,-10
2015,14,웨스트 브로미치 앨비언 FC,38,43,10,13,15,34,48,-14
2015,15,크리스탈 팰리스 FC,38,42,11,9,18,39,51,-12
2015,16,AFC 본머스,38,42,11,9,18,45,67,-22
2015,17,선덜랜드 AFC,38,39,9,12,17,48,62,-14
2015,18,뉴캐슬 유나이티드 FC,38,37,9,10,19,44,65,-21
2015,19,노리치 시티 FC,38,34,9,7,22,39,67,-28
2015,20,애스턴 빌라 FC,38,17,3,8,27,27,76,-49
2016,1,첼시 FC,38,93,30,3,5,85,33,52
2016,2,토트넘 홋스퍼 FC,38,86,26,8,4,86,26,60
2016,3,맨체스터 시티 FC,38,78,23,9,6,80,39,41
2016,4,리버풀 FC,38,76,22,10,6,78,42,36
2016,5,아스널 FC,38,75,23,6,9,77,44,33
2016,6,맨체스터 유나이티드 FC,38,69,18,15,5,54,29,25
2016,7,에버턴 FC,38,61,17,10,11,62,44,18
2016,8,사우샘프턴 FC,38,46,12,10,16,41,48,-7
2016,9,AFC 본머스,38,46,12,10,16,55,67,-12
2016,10,웨스트 브로미치 앨비언 FC,38,45,12,9,17,43,51,-8
2016,11,웨스트햄 유나이티드 FC,38,45,12,9,17,47,64,-17
