leaguename,rank,teamName,gameCount,gainPoint,won,drawn,lost,gainGoal,loseGoal,goalGap
ligue1,1,릴 OSC,38,83,24,11,3,64,23,41
ligue1,2,파리 생제르맹 FC,38,82,26,4,8,86,28,58
ligue1,3,AS 모나코 FC,38,78,24,6,8,76,42,34
ligue1,4,올랭피크 리옹,38,76,22,10,6,81,43,38
ligue1,5,올랭피크 드 마르세유,38,60,16,12,10,54,47,7
ligue1,6,스타드 렌 FC,38,58,16,10,12,52,40,12
ligue1,7,RC 랑스,38,57,15,12,11,55,54,1
ligue1,8,몽펠리에 에로 SC,38,54,14,12,12,60,62,-2
ligue1,9,OGC 니스,38,52,15,7,16,50,53,-3
ligue1,10,FC 메스,38,47,12,11,15,44,48,-4
ligue1,11,AS 생테티엔,38,46,12,10,16,42,54,-12
ligue1,12,FC 지롱댕 드 보르도,38,45,13,6,19,42,56,-14
ligue1,13,앙제 SCO,38,44,12,8,18,40,58,-18
ligue1,14,스타드 랭스,38,42,9,15,14,42,50,-8
ligue1,15,RC 스트라스부르 알자스,38,42,11,9,18,49,58,-9
ligue1,16,FC 로리앙,38,42,11,9,18,50,68,-18
ligue1,17,스타드 브레스투아 29,38,41,11,8,19,50,66,-16
ligue1,18,FC 낭트,38,40,9,13,16,47,55,-8
ligue1,19,님 올랭피크,38,35,9,8,21,40,71,-31
ligue1,20,디종 FCO,38,21,4,9,25,25,73,-48
