leaguename,rank,teamName,gameCount,gainPoint,won,drawn,lost,gainGoal,loseGoal,goalGap
primera,1,클루브 아틀레티코 데 마드리드,38,86,26,8,4,67,25,42
primera,2,레알 마드리드 CF,38,84,25,9,4,67,28,39
primera,3,FC 바르셀로나,38,79,24,7,7,85,38,47
primera,4,세비야 FC,38,77,24,5,9,53,33,20
primera,5,레알 소시에다드,38,62,17,11,10,59,38,21
primera,6,레알 베티스 발롬피에,38,61,17,10,11,50,50,0
primera,7,비야레알 CF,38,58,15,13,10,60,44,16
primera,8,RC 셀타 데 비고,38,53,14,11,13,55,57,-2
primera,9,그라나다 CF,38,46,13,7,18,47,65,-18
primera,10,아틀레틱 클루브,38,46,11,13,14,46,42,4
primera,11,CA 오사수나,38,44,11,11,16,37,48,-11
primera,12,카디스 CF,38,44,11,11,16,36,58,-22
primera,13,발렌시아 CF,38,43,10,13,15,50,53,-3
primera,14,레반테 UD,38,41,9,14,15,46,57,-11
primera,15,헤타페 CF,38,38,9,11,18,28,43,-15
primera,16,데포르티보 알라베스,38,38,9,11,18,36,57,-21
primera,17,엘체 CF,38,36,8,12,18,34,55,-21
primera,18,SD 우에스카,38,34,7,13,18,34,53,-19
primera,19,레알 바야돌리드,38,31,5,16,17,34,57,-23
primera,20,SD 에이바르,38,30,6,12,20,29,52,-23
