leaguename,rank,teamName,gameCount,gainPoint,won,drawn,lost,gainGoal,loseGoal,goalGap
seria,1,FC 인터 밀란,38,91,28,7,3,89,35,54
seria,2,AC 밀란,38,79,24,7,7,74,41,33
seria,3,아탈란타 BC,38,78,23,9,6,90,47,43
seria,4,유벤투스 FC,38,78,23,9,6,77,38,39
seria,5,SSC 나폴리,38,77,24,5,9,86,41,45
seria,6,SS 라치오,38,68,21,5,12,61,55,6
seria,7,AS 로마,38,62,18,8,12,68,58,10
seria,8,US 사수올로 칼초,38,62,17,11,10,64,56,8
seria,9,UC 삼프도리아,38,52,15,7,16,52,54,-2
seria,10,엘라스 베로나 FC,38,45,11,12,15,46,48,-2
seria,11,제노아 CFC,38,42,10,12,16,47,58,-11
seria,12,볼로냐 FC 1909,38,41,10,11,17,51,65,-14
seria,13,ACF 피오렌티나,38,40,9,13,16,47,59,-12
seria,14,우디네세 칼초,38,40,10,10,18,42,58,-16
seria,15,스페지아,38,39,9,12,17,52,72,-20
seria,16,칼리아리 칼초,38,37,9,10,19,43,59,-16
seria,17,토리노 FC,38,37,7,16,15,50,69,-19
seria,18,베네벤토 칼치오,38,33,7,12,19,40,75,-35
seria,19,FC 크로토네,38,23,6,5,27,45,92,-47
seria,20,파르마 칼초 1913,38,20,3,11,24,39,83,-44
